Percent of Optimal,Random,Reverse Optimal,Random Reverse Optimal
0,59.0,17711.0,17536.0
1,56.0,1432.0,1460.0
2,52.0,818.0,866.0
3,53.0,632.0,632.0
4,52.0,532.0,512.0
5,51.0,466.0,466.0
6,50.0,434.0,426.0
7,48.0,387.0,393.0
8,48.0,345.0,348.0
9,46.0,327.0,327.0
10,44.0,290.0,306.0
11,46.0,270.0,278.0
12,43.0,266.0,262.0
13,43.0,236.0,248.0
14,43.0,218.0,222.0
15,42.0,202.0,214.0
16,43.0,185.0,202.0
17,40.0,178.0,179.0
18,41.0,163.0,162.0
19,39.0,152.0,152.0
20,41.0,141.0,147.0
21,39.0,136.0,135.0
22,38.0,129.0,128.0
23,37.0,115.0,121.0
24,38.0,109.0,112.0
25,36.0,104.0,105.0
26,36.0,99.0,97.0
27,36.0,95.0,93.0
28,35.0,86.0,93.0
29,36.0,84.0,84.0
30,35.0,81.0,82.0
31,34.0,78.0,77.0
32,34.0,71.0,76.0
33,33.0,69.0,70.0
34,34.0,64.0,68.0
35,34.0,63.0,63.0
36,34.0,63.0,62.0
37,34.0,57.0,60.0
38,32.0,60.0,58.0
39,31.0,53.0,55.0
40,32.0,53.0,52.0
41,31.0,50.0,49.0
42,32.0,48.0,47.0
43,32.0,48.0,50.0
44,31.0,46.0,46.0
45,30.0,43.0,44.0
46,32.0,43.0,47.0
47,30.0,42.0,44.0
48,30.0,43.0,41.0
49,29.0,41.0,41.0
50,30.0,40.0,39.0
51,30.0,39.0,39.0
52,29.0,38.0,38.0
53,29.0,36.0,39.0
54,28.0,36.0,38.0
55,28.0,37.0,36.0
56,28.0,35.0,35.0
57,28.0,34.0,36.0
58,28.0,34.0,34.0
59,28.0,34.0,34.0
60,27.0,33.0,34.0
61,27.0,33.0,33.0
62,27.0,32.0,33.0
63,27.0,33.0,32.0
64,26.0,32.0,31.0
65,27.0,32.0,31.0
66,27.0,31.0,31.0
67,27.0,30.0,30.0
68,26.0,30.0,30.0
69,26.0,29.0,30.0
70,26.0,29.0,30.0
71,25.0,30.0,29.0
72,26.0,28.0,29.0
73,26.0,29.0,28.0
74,25.0,28.0,28.0
75,25.0,28.0,28.0
76,25.0,28.0,27.0
77,25.0,27.0,27.0
78,25.0,27.0,27.0
79,24.0,27.0,27.0
80,25.0,26.0,26.0
81,24.0,26.0,27.0
82,25.0,26.0,26.0
83,24.0,25.0,26.0
84,24.0,26.0,25.0
85,24.0,26.0,26.0
86,24.0,25.0,25.0
87,24.0,25.0,25.0
88,24.0,25.0,25.0
89,24.0,25.0,24.0
90,24.0,25.0,25.0
91,23.0,24.0,24.0
92,23.0,24.0,24.0
93,24.0,24.0,24.0
94,23.0,23.0,23.0
95,23.0,23.0,23.0
96,23.0,24.0,24.0
97,23.0,23.0,24.0
98,23.0,23.0,23.0
99,22.0,23.0,23.0
100,23.0,23.0,23.0
