Games Played,"(Q Agent): train_opponent=self,
          num_heaps=4, max_elements=6,
          α=0.4, γ=1, ε=0.05"
0,0.286
100,0.373
200,0.427
300,0.412
400,0.487
500,0.523
600,0.605
700,0.595
800,0.675
900,0.653
1000,0.703
1100,0.738
1200,0.76
1300,0.808
1400,0.79
1500,0.839
1600,0.823
1700,0.833
1800,0.843
1900,0.868
2000,0.875
2100,0.876
2200,0.898
2300,0.881
2400,0.888
2500,0.897
2600,0.89
2700,0.91
2800,0.908
2900,0.945
3000,0.937
3100,0.948
3200,0.944
3300,0.939
3400,0.946
3500,0.951
3600,0.964
3700,0.97
3800,0.962
3900,0.968
4000,0.977
4100,0.979
4200,0.974
4300,0.97
4400,0.983
4500,0.989
4600,0.972
4700,0.977
4800,0.988
4900,0.99
5000,0.988
5100,0.991
5200,0.991
5300,0.99
5400,0.995
5500,0.994
5600,0.996
5700,0.995
5800,0.992
5900,0.995
6000,0.993
6100,0.996
6200,0.997
6300,0.997
6400,0.997
6500,0.999
6600,0.999
6700,0.997
6800,0.999
6900,0.998
7000,0.996
7100,0.995
7200,0.998
7300,0.996
7400,0.997
7500,0.996
7600,0.999
7700,0.995
7800,0.998
7900,0.996
8000,0.997
8100,0.999
8200,1.0
8300,1.0
8400,1.0
8500,1.0
8600,1.0
8700,1.0
8800,1.0
8900,1.0
9000,1.0
9100,1.0
9200,1.0
9300,1.0
9400,1.0
9500,1.0
9600,1.0
9700,1.0
9800,1.0
9900,1.0
10000,1.0
